"Comment","Designator","Footprint","LCSC Part #"
"100n","C2,C3,C4,C5,C7,C8,C9,C1,C6,C12,C14,C15,C10","C_0402_1005Metric","C1525"
"10u","C11,C13","C_0402_1005Metric","C15525"
"2.2uF","C16,C17","C_0603_1608Metric","C23630"
"12pf","C18,C19","C_0402_1005Metric","C1547"
"ledgreen_0805","D1","LED_0805_2012Metric","C2297"
"SS210","D2","D_SMA","C14996"
"fuse-250mA","F1","Fuse_1206_3216Metric","C70068"
"bead","FB2,FB1","L_0805_2012Metric","C1015"
"47nH","L1","L_0603_1608Metric","C29683"
"10k","R1,R5,R6,R4,R2,R3","R_0402_1005Metric","C25744"
"100k","R7,R8","R_0402_1005Metric","C25741"
"220","R9","R_0402_1005Metric","C25091"
"47k","TH1","R_0603_1608Metric","C86142"
"STM32F407VETx","U1","LQFP-100_14x14mm_P0.5mm","C28730"
"ATGM336H-5N","U2","module18_9.7x10.1mm_P1.1mm","C90770"
"AP1117-33","U3","SOT-223-3_TabPin2","C6186"
"74AHC1G04-newfp","U4","SOT-70-dck","C7466"
"SRV05-4-newfp","U5","srv05-4","C85364"
"16mhz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
