Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,sma,86.480000,-2.060000,180.000000,top
AE2,Antenna_Shield,sma,2.100000,-50.000000,270.000000,top
AE3,Antenna_Shield,sma,2.100000,-61.933333,270.000000,top
AE4,Antenna_Shield,sma,97.800000,-73.866666,90.000000,top
AE5,Antenna_Shield,sma,2.100000,-85.800000,270.000000,top
AE6,Antenna_Shield,sma,97.800000,-50.000000,90.000000,top
AE7,Antenna_Shield,sma,97.800000,-61.933333,90.000000,top
AE8,Antenna_Shield,sma,2.100000,-73.866666,270.000000,top
AE9,Antenna_Shield,sma,97.800000,-85.800000,90.000000,top
C1,100n,C_0402_1005Metric,40.700000,-32.900000,180.000000,top
C2,100n,C_0402_1005Metric,44.680000,-14.220000,0.000000,top
C3,100n,C_0402_1005Metric,59.400000,-16.000000,90.000000,top
C4,100n,C_0402_1005Metric,61.100000,-29.300000,270.000000,top
C5,100n,C_0402_1005Metric,54.200000,-33.500000,0.000000,top
C6,100n,C_0402_1005Metric,56.800000,-34.100000,0.000000,top
C7,100n,C_0402_1005Metric,40.600000,-29.200000,90.000000,top
C8,100n,C_0402_1005Metric,47.900000,-33.600000,180.000000,top
C9,100n,C_0402_1005Metric,45.400000,-33.500000,180.000000,top
C10,100n,C_0402_1005Metric,34.600000,-28.400000,270.000000,top
C11,10u,C_0402_1005Metric,77.050000,-33.570000,270.000000,top
C12,100n,C_0402_1005Metric,17.000000,-4.000000,0.000000,top
C13,10u,C_0402_1005Metric,86.210000,-32.650000,90.000000,top
C14,100n,C_0402_1005Metric,23.100000,-29.800000,0.000000,top
C15,100n,C_0402_1005Metric,85.980000,-22.780000,180.000000,top
C16,2.2uF,C_0603_1608Metric,61.600000,-18.200000,0.000000,top
C17,2.2uF,C_0603_1608Metric,46.600000,-12.800000,90.000000,top
C18,12pf,C_0402_1005Metric,47.830000,-37.030000,90.000000,top
C19,12pf,C_0402_1005Metric,53.260000,-37.030000,270.000000,top
D1,ledgreen_0805,LED_0805_2012Metric,61.900000,-35.800000,90.000000,top
D2,SS210,D_SMA,68.200000,-21.400000,90.000000,top
F1,fuse-250mA,Fuse_1206_3216Metric,69.200000,-35.200000,180.000000,top
FB1,bead,L_0805_2012Metric,57.300000,-36.000000,180.000000,top
FB2,bead,L_0805_2012Metric,73.770000,-35.230000,180.000000,top
J4,USB_B_Micro,USB_Micro-B_Molex-105017-0001,47.400000,-1.800000,180.000000,top
L1,47nH,L_0603_1608Metric,84.836000,-6.350000,90.000000,top
R1,10k,R_0402_1005Metric,37.800000,-24.300000,180.000000,top
R2,10k,R_0402_1005Metric,37.800000,-25.400000,0.000000,top
R3,10k,R_0402_1005Metric,37.800000,-23.200000,0.000000,top
R4,10k,R_0402_1005Metric,31.700000,-32.900000,0.000000,top
R5,10k,R_0402_1005Metric,61.900000,-32.800000,270.000000,top
R6,10k,R_0402_1005Metric,36.900000,-27.900000,180.000000,top
R7,100k,R_0402_1005Metric,52.200000,-8.600000,270.000000,top
R8,100k,R_0402_1005Metric,52.200000,-10.900000,270.000000,top
R9,220,R_0402_1005Metric,51.040000,-33.460000,270.000000,top
TH1,47k,R_0603_1608Metric,31.600000,-31.300000,180.000000,top
U1,STM32F407VETx,LQFP-100_14x14mm_P0.5mm,50.900000,-23.700000,0.000000,top
U2,ATGM336H-5N,module18_9.7x10.1mm_P1.1mm,83.180000,-15.300000,0.000000,top
U3,AP1117-33,SOT-223-3_TabPin2,81.800000,-33.000000,90.000000,top
U4,74AHC1G04-newfp,SOT-70-dck,17.000000,-7.000000,90.000000,top
U5,SRV05-4-newfp,SOT-23-6L-srv05,48.790000,-8.300000,180.000000,top
Y1,16mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,50.560000,-36.590000,0.000000,top
